"","Kingdom","Phylum","Class","Order","Family","Genus"
"1","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"2","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"3","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"4","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"5","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"6","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"7","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"8","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"9","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"10","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"11","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"12","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"13","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"14","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"15","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"16","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"17","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"18","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"19","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"20","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"21","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"22","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"23","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"24","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"25","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"26","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"27","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"28","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"29","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"30","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"31","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"32","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"33","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"34","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"35","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"36","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
