Run,SampleID, Treatment,Acetate ,Butyrate ,Formate ,Lactate,pH ,Succinate 
SRR13200563,sample_1,CornStarch,19.64,1.02,21.88,120.54,4.62,4.93
SRR13200564,sample_2,Banana,41.69,15.67,6.41,0,5.97,2.68
SRR13200565,sample_3,Amylopectin,11.04,0,21.58,173.27,4.1,9.85
SRR13200568,sample_4,HAM4,24.49,5.26,15.44,6.46,6.7,2.27
SRR13200569,sample_5,HAM2,20.32,7,16.41,8.46,6.84,2.31
SRR13200570,sample_6,Water,16.14,5.35,18.21,6.61,7.01,1.53
SRR13200573,sample_7,PS_Rb,48.25,10.63,16.93,27.24,5.57,0.55
SRR13200574,sample_8,PS_Ba,50.45,5.8,18.81,30.71,5.68,0.4
SRR13200578,sample_9,Tapioca,70.69,21.08,31.78,37.55,5.02,0.43
SRR13200580,sample_10,Water,20.69,3.34,12.16,0,6.79,0.08
