"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"2","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"3","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"4","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"5","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"6","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"7","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"8","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"9","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"10","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"11","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"12","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"13","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"14","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"15","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"16","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"17","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"18","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"19","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"20","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"21","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"22","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"23","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"24","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"25","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"26","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"27","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"28","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"29","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"30","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"31","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"32","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA
"33","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"34","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"35","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"36","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"37","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA
"38","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"39","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"40","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"41","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA
"42","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"43","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"44","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"45","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"46","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"47","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"48","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","marmotae"
"49","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"50","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"51","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"52","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"53","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"54","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"55","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"56","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA
"57","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"58","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"59","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
